Steps,FloorsNum,PeopleNum,Brain,Max people on floor,liftNum
83341,7,535,lift.main.LiftBrain,87,1
159933,57,255,lift.main.LiftBrain,9,1
328377,45,405,lift.main.LiftBrain,16,1
5811620,109,1115,lift.main.LiftBrain,17,1
1137158,87,555,lift.main.LiftBrain,14,1
50066,69,125,lift.main.LiftBrain,5,1
334,69,5,lift.main.LiftBrain,1,1
1520,5,85,lift.main.LiftBrain,22,1
5896362,131,1075,lift.main.LiftBrain,17,1
17022,143,45,lift.main.LiftBrain,2,1
2169015,121,645,lift.main.LiftBrain,12,1
1250618,81,615,lift.main.LiftBrain,14,1
224017,35,385,lift.main.LiftBrain,16,1
2643675,123,715,lift.main.LiftBrain,13,1
753688,145,335,lift.main.LiftBrain,8,1
154000,9,625,lift.main.LiftBrain,78,1
85728,5,615,lift.main.LiftBrain,138,1
783367,35,735,lift.main.LiftBrain,34,1
747903,23,865,lift.main.LiftBrain,48,1
702716,59,515,lift.main.LiftBrain,14,1
2597940,153,645,lift.main.LiftBrain,10,1
623074,121,335,lift.main.LiftBrain,7,1
1438392,95,595,lift.main.LiftBrain,14,1
173148,91,215,lift.main.LiftBrain,6,1
2937212,109,815,lift.main.LiftBrain,16,1
2224960,123,635,lift.main.LiftBrain,14,1
27650,151,55,lift.main.LiftBrain,2,1
3750,5,135,lift.main.LiftBrain,34,1
6002859,159,925,lift.main.LiftBrain,15,1
687753,27,795,lift.main.LiftBrain,40,1
2263655,31,1305,lift.main.LiftBrain,59,1
652367,59,495,lift.main.LiftBrain,15,1
4425079,93,1095,lift.main.LiftBrain,21,1
25468,49,115,lift.main.LiftBrain,6,1
269722,37,415,lift.main.LiftBrain,19,1
2847825,61,1055,lift.main.LiftBrain,27,1
27370,13,215,lift.main.LiftBrain,26,1
1907736,43,1015,lift.main.LiftBrain,36,1
4726182,153,875,lift.main.LiftBrain,13,1
223,19,15,lift.main.LiftBrain,3,1
524956,143,285,lift.main.LiftBrain,7,1
297281,83,285,lift.main.LiftBrain,8,1
7456897,109,1275,lift.main.LiftBrain,20,1
723893,103,405,lift.main.LiftBrain,10,1
1271901,107,515,lift.main.LiftBrain,10,1
1873813,111,625,lift.main.LiftBrain,14,1
363520,33,505,lift.main.LiftBrain,21,1
568942,129,335,lift.main.LiftBrain,6,1
5504320,155,915,lift.main.LiftBrain,12,1
282127,111,245,lift.main.LiftBrain,6,1
687508,67,485,lift.main.LiftBrain,16,1
7644716,131,1175,lift.main.LiftBrain,17,1
177881,71,235,lift.main.LiftBrain,9,1
8471244,139,1165,lift.main.LiftBrain,16,1
1876905,47,995,lift.main.LiftBrain,29,1
350825,29,525,lift.main.LiftBrain,32,1
6777148,133,1125,lift.main.LiftBrain,19,1
159538,7,715,lift.main.LiftBrain,119,1
2098877,167,525,lift.main.LiftBrain,10,1
379904,13,835,lift.main.LiftBrain,76,1
855373,49,635,lift.main.LiftBrain,24,1
51553,15,285,lift.main.LiftBrain,26,1
376553,51,415,lift.main.LiftBrain,15,1
122502,95,165,lift.main.LiftBrain,6,1
3583241,159,705,lift.main.LiftBrain,13,1
1281236,55,735,lift.main.LiftBrain,25,1
7403697,135,1135,lift.main.LiftBrain,16,1
8051988,151,1125,lift.main.LiftBrain,14,1
2322395,157,585,lift.main.LiftBrain,10,1
3664046,69,1125,lift.main.LiftBrain,27,1
6602395,127,1105,lift.main.LiftBrain,19,1
965715,65,585,lift.main.LiftBrain,14,1
4148186,129,835,lift.main.LiftBrain,17,1
5273119,95,1135,lift.main.LiftBrain,21,1
4816903,151,855,lift.main.LiftBrain,12,1
5108813,153,885,lift.main.LiftBrain,13,1
1687847,73,755,lift.main.LiftBrain,18,1
145049,107,175,lift.main.LiftBrain,5,1
485397,9,1125,lift.main.LiftBrain,144,1
1120769,117,455,lift.main.LiftBrain,9,1
219793,19,505,lift.main.LiftBrain,39,1
954781,125,445,lift.main.LiftBrain,10,1
1474621,141,485,lift.main.LiftBrain,8,1
1434171,103,575,lift.main.LiftBrain,12,1
103236,111,135,lift.main.LiftBrain,4,1
939565,57,625,lift.main.LiftBrain,18,1
936306,27,895,lift.main.LiftBrain,44,1
6297299,141,1045,lift.main.LiftBrain,16,1
669267,21,855,lift.main.LiftBrain,58,1
2362751,59,965,lift.main.LiftBrain,28,1
888486,35,785,lift.main.LiftBrain,34,1
2711164,161,645,lift.main.LiftBrain,10,1
3324887,137,745,lift.main.LiftBrain,14,1
2529635,49,1135,lift.main.LiftBrain,37,1
3444587,55,1225,lift.main.LiftBrain,33,1
731466,43,635,lift.main.LiftBrain,22,1
160017,157,155,lift.main.LiftBrain,6,1
456077,167,265,lift.main.LiftBrain,6,1
1994368,87,735,lift.main.LiftBrain,16,1
329382,125,245,lift.main.LiftBrain,7,1
12786,59,65,lift.main.LiftBrain,3,1
3208088,157,655,lift.main.LiftBrain,12,1
456631,33,565,lift.main.LiftBrain,26,1
6979321,133,1125,lift.main.LiftBrain,17,1
2291943,159,585,lift.main.LiftBrain,8,1
5285039,109,1035,lift.main.LiftBrain,17,1
460192,7,1245,lift.main.LiftBrain,216,1
4865599,83,1155,lift.main.LiftBrain,23,1
677781,39,615,lift.main.LiftBrain,26,1
6560345,143,985,lift.main.LiftBrain,14,1
5109301,143,915,lift.main.LiftBrain,13,1
4183718,67,1215,lift.main.LiftBrain,29,1
3641201,151,725,lift.main.LiftBrain,12,1
372502,39,465,lift.main.LiftBrain,19,1
474174,107,325,lift.main.LiftBrain,8,1
7557912,115,1255,lift.main.LiftBrain,19,1
4292122,115,915,lift.main.LiftBrain,16,1
1032324,107,445,lift.main.LiftBrain,11,1
6864145,119,1135,lift.main.LiftBrain,16,1
454054,43,485,lift.main.LiftBrain,17,1
6761602,123,1105,lift.main.LiftBrain,18,1
153788,25,385,lift.main.LiftBrain,23,1
69335,53,175,lift.main.LiftBrain,9,1
1984737,43,1025,lift.main.LiftBrain,34,1
614083,53,505,lift.main.LiftBrain,16,1
2402697,137,635,lift.main.LiftBrain,11,1
763885,131,375,lift.main.LiftBrain,8,1
1991454,107,655,lift.main.LiftBrain,15,1
888470,137,375,lift.main.LiftBrain,9,1
43686,27,195,lift.main.LiftBrain,16,1
4329154,137,845,lift.main.LiftBrain,12,1
62572,165,95,lift.main.LiftBrain,3,1
1537857,119,545,lift.main.LiftBrain,11,1
5135773,149,925,lift.main.LiftBrain,14,1
165988,121,155,lift.main.LiftBrain,5,1
662009,117,365,lift.main.LiftBrain,8,1
62064,71,145,lift.main.LiftBrain,5,1
254854,119,225,lift.main.LiftBrain,5,1
6712273,151,1045,lift.main.LiftBrain,16,1
4983901,155,885,lift.main.LiftBrain,11,1
456346,29,625,lift.main.LiftBrain,27,1
2190064,73,815,lift.main.LiftBrain,18,1
1906689,45,1005,lift.main.LiftBrain,33,1
763836,103,405,lift.main.LiftBrain,13,1
33421,83,95,lift.main.LiftBrain,4,1
1794169,57,875,lift.main.LiftBrain,24,1
6344,117,35,lift.main.LiftBrain,2,1
14276,71,65,lift.main.LiftBrain,4,1
2942381,123,765,lift.main.LiftBrain,13,1
725222,77,475,lift.main.LiftBrain,11,1
381466,101,305,lift.main.LiftBrain,9,1
4307233,69,1205,lift.main.LiftBrain,28,1
441250,49,475,lift.main.LiftBrain,17,1
